AX,AY,AZ,GX,GY,GZ,Type
2.84,1.67,-9.06,0,0.02,-0.01,3
2.83,1.69,-9.03,0,0.02,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.01,0,0.01,-0.01,3
2.81,1.68,-9.03,0,0.02,-0.01,3
2.8,1.68,-9,0,0.01,-0.01,3
2.81,1.68,-9.05,0,0.01,-0.01,3
2.81,1.67,-9.05,0,0.01,-0.01,3
2.8,1.67,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.01,-0.01,3
2.82,1.69,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.02,0,0.01,-0.01,3
2.81,1.67,-9.02,0,0.01,-0.01,3
2.8,1.68,-9.03,0,0.02,-0.01,3
2.8,1.68,-9.06,0,0.01,-0.01,3
2.81,1.67,-9.01,0,0.02,-0.01,3
2.8,1.68,-9.06,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.02,-0.01,3
2.82,1.68,-9.03,0,0.02,-0.01,3
2.81,1.67,-9.01,0,0.02,-0.01,3
2.81,1.67,-9.04,0,0.02,-0.01,3
2.82,1.68,-9.06,0,0.01,-0.01,3
2.82,1.69,-9.02,0,0.01,-0.01,3
2.82,1.69,-9.05,0,0.02,-0.01,3
2.82,1.69,-9.03,0,0.01,-0.01,3
2.79,1.67,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.05,0,0.01,-0.01,3
2.82,1.69,-9.04,0,0.02,-0.01,3
2.81,1.69,-9.06,0,0.01,-0.01,3
2.8,1.69,-9.04,0,0.01,-0.01,3
2.8,1.68,-9.04,0,0.01,-0.01,3
2.79,1.69,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.02,-0.01,3
2.8,1.68,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.83,1.7,-9.06,0,0.02,-0.01,3
2.81,1.68,-9.06,0,0.02,-0.01,3
2.81,1.65,-9.04,0,0.01,-0.01,3
2.8,1.67,-9.04,0,0.01,-0.01,3
2.79,1.68,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.02,-0.01,3
2.8,1.67,-9.01,0,0.01,-0.01,3
2.84,1.7,-9.03,0,0.01,-0.01,3
2.81,1.67,-9.06,0,0.01,-0.01,3
2.81,1.67,-9.06,0,0.01,-0.01,3
2.83,1.67,-9.05,0,0.01,-0.01,3
2.81,1.69,-9.05,0,0.01,-0.01,3
2.82,1.68,-9.06,0,0.01,-0.01,3
2.82,1.69,-9.06,0,0.01,-0.01,3
2.81,1.71,-9.03,0,0.01,-0.01,3
2.83,1.68,-9.05,0,0.01,-0.01,3
2.82,1.67,-9.04,0,0.01,-0.01,3
2.81,1.68,-9.02,0,0.01,-0.01,3
2.8,1.67,-9.06,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.8,1.68,-9.06,0,0.01,-0.01,3
2.8,1.68,-9.03,0,0.02,-0.01,3
2.81,1.68,-9.07,0,0.02,-0.01,3
2.81,1.67,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.04,0,0.01,-0.01,3
2.81,1.67,-9.02,0,0.02,-0.01,3
2.8,1.68,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.02,0,0.02,-0.01,3
2.83,1.7,-9.02,0,0.02,-0.01,3
2.81,1.68,-9.02,0,0.02,-0.01,3
2.8,1.69,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.03,0,0.02,-0.01,3
2.82,1.68,-9.05,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.01,-0.01,3
2.79,1.69,-9.03,0,0.02,-0.01,3
2.81,1.67,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.07,0,0.01,-0.01,3
2.83,1.69,-9.02,0,0.02,-0.01,3
2.8,1.67,-9.04,0,0.01,-0.01,3
2.81,1.68,-9.06,0,0.01,-0.01,3
2.8,1.67,-9.02,0,0.01,-0.01,3
2.8,1.69,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.02,0,0.01,-0.01,3
2.83,1.68,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.81,1.7,-9.05,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.81,1.68,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.82,1.7,-9.05,0,0.01,-0.01,3
2.8,1.68,-9.05,0,0.01,-0.01,3
2.8,1.66,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.04,0,0.01,-0.01,3
2.82,1.69,-9.03,0,0.01,-0.01,3
2.81,1.67,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.05,0,0.01,-0.01,3
2.8,1.68,-9.04,0,0.02,-0.01,3
2.8,1.67,-9.05,0,0.01,-0.01,3
2.81,1.67,-9.04,0,0.02,-0.01,3
2.82,1.68,-9.06,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.8,1.68,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.02,-0.01,3
2.8,1.7,-9.03,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.8,1.67,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.02,0,0.02,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.79,1.66,-9.02,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.81,1.7,-9.05,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.02,-0.01,3
2.82,1.69,-9.04,0,0.01,-0.01,3
2.81,1.68,-9.05,0,0.02,-0.01,3
2.83,1.69,-9.04,0,0.01,-0.01,3
2.82,1.7,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.05,0,0.01,-0.01,3
2.81,1.7,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.8,1.69,-9.04,0,0.01,-0.01,3
2.8,1.69,-9.04,0,0.02,-0.01,3
2.83,1.7,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.04,0,0.01,-0.01,3
2.82,1.69,-9.04,0,0.01,-0.01,3
2.81,1.7,-9.03,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.01,-0.01,3
2.81,1.7,-9.06,0,0.01,-0.01,3
2.83,1.68,-9.05,0,0.01,-0.01,3
2.82,1.7,-9.04,0,0.02,-0.01,3
2.81,1.68,-9.04,0,0.02,-0.01,3
2.82,1.68,-9.05,0,0.01,-0.01,3
2.81,1.68,-9.05,0,0.01,-0.01,3
2.82,1.69,-9.04,0,0.02,-0.01,3
2.83,1.67,-9.06,0,0.01,-0.01,3
2.82,1.69,-9.04,0,0.02,-0.01,3
2.81,1.69,-9.05,0,0.01,-0.01,3
2.83,1.69,-9.05,0,0.01,-0.01,3
2.82,1.69,-9.06,0,0.02,-0.01,3
2.81,1.69,-9.05,0,0.01,-0.01,3
2.8,1.68,-9.04,0,0.01,-0.01,3
2.82,1.67,-9.03,0,0.01,-0.01,3
2.82,1.67,-9.04,0,0.01,-0.01,3
2.83,1.67,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.05,0,0.02,-0.01,3
2.79,1.68,-9.04,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.02,-0.01,3
2.8,1.68,-9.06,0,0.01,-0.01,3
2.83,1.67,-9.02,0,0.02,-0.01,3
2.83,1.68,-9.04,0,0.01,-0.01,3
2.81,1.68,-9.05,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.82,1.66,-9.02,0,0.01,-0.01,3
2.81,1.67,-9.04,0,0.02,-0.01,3
2.83,1.69,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.83,1.68,-9.03,0,0.01,-0.01,3
2.82,1.67,-9.02,0,0.01,-0.01,3
2.82,1.69,-9.06,0,0.02,-0.01,3
2.82,1.69,-9.05,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.83,1.68,-9.04,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.82,1.68,-9.03,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.02,-0.01,3
2.81,1.68,-9.05,0,0.01,-0.01,3
2.82,1.69,-9.05,0,0.01,-0.01,3
2.8,1.69,-9.05,0,0.01,-0.01,3
2.85,1.69,-9.07,0,0.01,-0.01,3
2.81,1.69,-9.04,0,0.01,-0.01,3
2.82,1.7,-9.05,0,0.01,-0.01,3
2.82,1.67,-9.04,0,0.01,-0.01,3
2.82,1.7,-9.06,0,0.01,-0.01,3
2.83,1.69,-9.03,0,0.01,-0.01,3
2.81,1.68,-9.04,0,0.02,-0.01,3
